id,partenza,arrivo,tappa1,distanza1,tappa2,distanza2,tappa3,distanza3,tappa4,distanza4,tappa5,distanza5,distanza_a_destinazione
54,Parcheggio di Cisanello,Conad La Vettola,Decathlon Pisa,1.55,Supermercato Coop San Giusto,2.58,Ristorante La Greppia,0.92,Torre,3.68,Hotel Galilei Pisa,5.3,6
55,Esselunga Cisanello,Via del Borghetto 102,McDonald's Barbaricina,7.35,Decathlon Pisa,6.84,Pizzeria Pisanova,0.85,,,,,2
56,McDonald's Pisa Aurelia,Hotel San Ranieri,MediaWorld Pisa,3.23,OBI Pisa,3.77,Hotel Continental Tirrenia,13.77,Ristorante Da Stefano (Tirrenia),1.15,,,19.92
57,Conad Metato,Ristorante Pizzeria Il Pellicano,,,,,,,,,,,10.21
58,Via Cisanello 170,Ristorante Il Rustichello - San Piero,Ristorante Tuscany 2,0.69,Stazione San Rossore,4.35,MD Discount Riglione,5.84,Esselunga Cisanello,4.05,Lidl Pisa,3.7,4.66
59,Centro Commerciale Pisanova,Ristorante La Greppia,MD Discount Riglione,4.1,Euronics Pisa Cisanello,3.43,Via Cisanello 170,1.29,Ristorante Il Lago (Nodica),6.25,Ristorante Il Rustichello - San Piero,11.07,4.75
60,Lidl Pisa,Conad La Vettola,Stazione Pisa Centrale,1.1,Eurospin Ospedaletto,4.93,Pizzeria Colignola,9.06,Ristorante Tuscany 2,1.24,,,9.17
61,Via Cisanello 170,MD Discount Riglione,Parcheggio San Giuliano Terme,8.1,Hotel San Ranieri,8.43,Conad Metato,7.67,,,,,12.04
62,Conad La Vettola,Facolta di Ingegneria Polo A,,,,,,,,,,,6.49
63,Parco San Rossore,Via Angelo Battelli 5,Pizzeria Pisanova,3.43,Parcheggio di Cisanello,0.93,Euronics Pisa Cisanello,1.27,,,,,2.48
64,Polo Fibonacci,Torre,Via Aretino Spinello 11,1.13,,,,,,,,,1.35
65,Esselunga Cisanello,Piscina Comunale Camalich,,,,,,,,,,,7.05
66,Parcheggio Porto di Marina,Via del Borghetto 102,Decathlon Pisa,15.76,,,,,,,,,2.7
67,Ipercoop Pisa,Ristorante Il Mio Capriccio,Decathlon Pisa,0.64,,,,,,,,,0.24
68,Via Gabriele Vettori 18,Ristorante Tuscany 2,,,,,,,,,,,2.27
69,Decathlon Pisa,McDonald's Barbaricina,Parcheggio Migliarino,15.45,Torre,12.67,Via Angelo Battelli 5,1.46,,,,,5.84
70,Hotel Continental Tirrenia,Stazione Pisa Centrale,Via Gabriele Vettori 18,18.96,Facolta di Ingegneria Polo A,0.28,Ristorante Il Mio Capriccio,2.3,Parcheggio di Cisanello,2.06,,,2.95
71,Ristorante Galileo,Eurospin Ospedaletto,Stazione Pisa Centrale,2.64,Pizzeria Colignola,4.66,Ristorante Il Rustichello - San Piero,9.32,,,,,2.92
72,Pizzeria Pisanova,Via del Borghetto 102,Ristorante La Greppia,2.12,Lidl Pisa,1.66,Universita di Pisa,2.4,Centro Commerciale Pisanova,1.7,Via Angelo Battelli 5,2.01,0.8
73,McDonald's Barbaricina,Decathlon Pisa,Via Montanelli 66,6.35,Supermercato Coop San Giusto,2.4,,,,,,,2.33
74,Via Cisanello 170,Hotel Continental Tirrenia,Parco San Rossore,4.07,Pizzeria Colignola,4.97,Parcheggio Migliarino,17.75,Parcheggio di Cisanello,15.6,,,18.62
75,Stazione Pisa Centrale,Ipercoop Pisa,Ristorante Il Lago (Nodica),7.91,Esselunga Cisanello,7.22,,,,,,,1.29
76,Supermercato Coop Ghezzano,Centro Commerciale Pisanova,McDonald's Pisa Aurelia,9.42,Decathlon Pisa,2.71,Ristorante Il Lago (Nodica),8.49,Via del Borghetto 102,5.11,,,1.96
77,Via San Ranieri 9,Centro Commerciale Darsena (Tirrenia),Eurospin Ospedaletto,7.84,Ipercoop Pisa,5.89,Euronics Pisa Cisanello,0.44,Hotel Continental Tirrenia,18.57,,,2.41
78,Parcheggio San Giuliano Terme,Facolta di Ingegneria Polo A,Via del Borghetto 102,7.02,Stazione Leopolda,1.64,,,,,,,1.58
79,Via Angelo Battelli 5,Polo Fibonacci,Piscina Comunale Camalich,5.84,Supermercato Coop Ghezzano,11.5,Hotel Continental Tirrenia,23.9,Eurospin Ospedaletto,12.6,,,7.83
80,Eurospin Ospedaletto,Ristorante Il Rustichello - San Piero,Hotel Continental Tirrenia,12,Stazione Pisa Centrale,16.18,Via Montanelli 66,1.36,,,,,6.82
81,Polo Fibonacci,Eurospin Ospedaletto,Pizzeria Colignola,3.33,Stazione Pisa Centrale,4.19,Via Angelo Battelli 5,1.52,Lidl Pisa,1.57,Facolta di Ingegneria Polo A,2.13,7.37
82,Polo Fibonacci,Ristorante Tuscany 2,McDonald's Barbaricina,6.2,Parcheggio di Cisanello,7.62,Via Angelo Battelli 5,2.29,Via San Ranieri 9,1.97,Via del Borghetto 102,1.66,2.73
83,Parco San Rossore,Pizzeria Pisanova,,,,,,,,,,,3.01
84,Pizzeria Colignola,Stazione San Rossore,MediaWorld Pisa,2.31,Ristorante Pizzeria Il Pellicano,1.37,McDonald's Pisa Aurelia,1.9,Via Montanelli 66,3.3,,,2.21
85,Ristorante Il Mio Capriccio,Hotel San Ranieri,Eurospin Ospedaletto,5.8,Parcheggio San Giuliano Terme,16.02,Torre,7.73,Centro Commerciale Pisanova,3.37,,,1.3
86,Ristorante Tuscany 2,Stazione San Rossore,OBI Pisa,5.43,Parcheggio Via Paparelli,6.38,Conad Metato,6.74,Parcheggio San Giuliano Terme,0.57,Parcheggio Migliarino,10.78,13.05
87,Torre,MD Discount Riglione,Universita di Pisa,1.56,Ristorante Pizzeria Il Pellicano,2.67,Ristorante Da Stefano (Tirrenia),19.27,,,,,18.64
88,Conad Pian di Marco,Pizzeria Pisanova,Stazione Leopolda,2.1,,,,,,,,,2.08
89,Ristorante Il Mio Capriccio,Via Angelo Battelli 5,Pizzeria Pisanova,1.02,,,,,,,,,1.94
90,Parco San Rossore,Parcheggio San Giuliano Terme,,,,,,,,,,,9.71
91,McDonald's Barbaricina,Conad La Vettola,Centro Commerciale Darsena (Tirrenia),17.46,,,,,,,,,15.41
92,Centro Commerciale Darsena (Tirrenia),Ristorante Il Lago (Nodica),MD Discount Riglione,21.3,Centro Commerciale Pisanova,4.24,,,,,,,6.85
93,Via Angelo Battelli 5,Piscina Comunale Camalich,Via San Ranieri 9,2.1,Parcheggio Migliarino,14.31,Ipercoop Pisa,16.66,Stazione Leopolda,2.54,Facolta di Ingegneria Polo A,1.31,6.12
94,Via Cisanello 170,Hotel Galilei Pisa,Via Montanelli 66,1.46,,,,,,,,,4.8
95,Parcheggio Migliarino,Ristorante Il Lago (Nodica),Supermercato Coop San Giusto,15.12,Ristorante Galileo,3.13,,,,,,,6.64
96,Esselunga Cisanello,Ristorante Tuscany 2,McDonald's Pisa Aurelia,3.95,Eurospin Ospedaletto,3.36,MediaWorld Pisa,6.38,Carrefour Express Pisanova,0.5,Stazione Pisa Centrale,1.65,3.02
97,Parcheggio di Cisanello,MediaWorld Pisa,Via Gabriele Vettori 18,2.07,Supermercato Coop San Giusto,2.46,Euronics Pisa Cisanello,3.1,Pizzeria Pisanova,0.62,Via Angelo Battelli 5,1.81,1.95
98,Piscina Comunale Camalich,Hotel San Ranieri,Ristorante Galileo,5.61,Polo Fibonacci,1.93,,,,,,,1.93
99,Via San Ranieri 9,Via Angelo Battelli 5,Conad Metato,8.4,Stazione Leopolda,8.96,Eurospin Ospedaletto,6.37,Euronics Pisa Cisanello,6.22,Parco San Rossore,3.61,2.37
100,Hotel Continental Tirrenia,Hotel Galilei Pisa,,,,,,,,,,,14.14
101,Pizzeria Pisanova,McDonald's Barbaricina,Farmacia Cisanello,1.15,Conad Pian di Marco,4.84,Centro Commerciale Pisanova,3.92,Hotel Continental Tirrenia,18.28,,,15.02
102,Supermercato Coop Ghezzano,Pizzeria Colignola,Ristorante La Greppia,7.91,Facolta di Ingegneria Polo A,2.76,,,,,,,3.22
103,Stazione Pisa Centrale,Lidl Pisa,Ristorante Pizzeria Il Pellicano,1.01,Polo Fibonacci,2.73,OBI Pisa,4.68,,,,,2.59
104,Via Angelo Battelli 5,Via San Ranieri 9,,,,,,,,,,,1.92
105,Centro Commerciale Pisanova,Ristorante Tuscany 2,Conad Pian di Marco,3.85,Esselunga Cisanello,4.5,MD Discount Riglione,3.66,,,,,3.42
106,Hotel San Ranieri,Ipercoop Pisa,,,,,,,,,,,1.95
107,Carrefour Express Pisanova,Lidl Pisa,,,,,,,,,,,2.69
108,Parcheggio di Cisanello,Via Angelo Battelli 5,Universita di Pisa,1.53,Polo Fibonacci,0.12,OBI Pisa,4.24,McDonald's Barbaricina,4.25,,,5.47
109,Pizzeria Pisanova,Parco San Rossore,Ristorante Galileo,0.38,Via Aretino Spinello 11,2.46,Ristorante Il Mio Capriccio,2.04,Centro Commerciale Darsena (Tirrenia),18.66,Ristorante La Greppia,21.02,1.73
110,Hotel Galilei Pisa,Conad Metato,Ristorante Il Rustichello - San Piero,3.54,Via Angelo Battelli 5,5.86,Eurospin Ospedaletto,7.32,Parcheggio Migliarino,17.33,Farmacia Cisanello,16.45,8.58
111,Supermercato Coop Ghezzano,OBI Pisa,Parcheggio Via Paparelli,2.62,Universita di Pisa,1.82,Eurospin Ospedaletto,7.16,Centro Commerciale Darsena (Tirrenia),14.87,,,17.6
112,Via Angelo Battelli 5,Conad La Vettola,Via San Ranieri 9,2.08,Parco San Rossore,3.62,Farmacia Cisanello,4.34,,,,,9.44
113,Conad La Vettola,Piscina Comunale Camalich,Centro Commerciale Darsena (Tirrenia),16.35,,,,,,,,,16.19
114,Centro Commerciale Pisanova,Ristorante Il Lago (Nodica),Parcheggio di Cisanello,1.03,Via Cisanello 170,0.13,Via Angelo Battelli 5,2.14,Conad Metato,9.58,,,2.87
115,Parcheggio Via Paparelli,Via del Borghetto 102,Lidl Pisa,4.24,Universita di Pisa,2.18,Eurospin Ospedaletto,7.5,Via Cisanello 170,8.21,,,1.83
116,Universita di Pisa,Lidl Pisa,Supermercato Coop San Giusto,3.34,MD Discount Riglione,5.34,,,,,,,6.61
117,Ristorante Il Rustichello - San Piero,Stazione Pisa Centrale,Piscina Comunale Camalich,3.47,MD Discount Riglione,6.56,,,,,,,5.45
118,Ristorante Pizzeria Il Pellicano,McDonald's Barbaricina,Hotel San Ranieri,2.81,Facolta di Ingegneria Polo A,1.97,Supermercato Coop San Giusto,3.07,Ristorante Il Mio Capriccio,2.28,Via Gabriele Vettori 18,2.14,5.75
119,OBI Pisa,Ipercoop Pisa,,,,,,,,,,,4.08
120,Hotel Galilei Pisa,Polo Fibonacci,,,,,,,,,,,5.92
121,OBI Pisa,Piscina Comunale Camalich,Pizzeria Pisanova,4.43,,,,,,,,,5.28
122,Via Angelo Battelli 5,Parcheggio di Cisanello,Ristorante Il Mio Capriccio,2.05,Via Gabriele Vettori 18,1.9,Centro Commerciale Pisanova,1.7,,,,,0.94
123,McDonald's Pisa Aurelia,Supermercato Coop Ghezzano,Torre,3.85,Farmacia Cisanello,3.28,Via Cisanello 170,0.42,,,,,5.2
124,Facolta di Ingegneria Polo A,McDonald's Barbaricina,Centro Commerciale Pisanova,1.83,Supermercato Coop Ghezzano,5.8,Ristorante La Greppia,7.15,Ipercoop Pisa,1.88,,,7.73
125,Torre,Centro Commerciale Darsena (Tirrenia),Ipercoop Pisa,3.78,Ristorante Il Rustichello - San Piero,7.25,Centro Commerciale Pisanova,7.27,Hotel Galilei Pisa,5.05,Stazione San Rossore,3.53,20.62
126,Pizzeria Pisanova,Conad La Vettola,Ristorante Tuscany 2,0.95,Hotel Galilei Pisa,5.69,Euronics Pisa Cisanello,4.44,,,,,8.13
127,Via San Ranieri 9,Pizzeria Colignola,Via Angelo Battelli 5,1.95,Parcheggio San Giuliano Terme,7.73,Decathlon Pisa,9.68,Centro Commerciale Pisanova,0.78,Ristorante Da Stefano (Tirrenia),20.04,21.64
128,Ristorante Il Mio Capriccio,Supermercato Coop San Giusto,Polo Fibonacci,2.53,Eurospin Ospedaletto,6.93,Ristorante Pizzeria Il Pellicano,5.13,McDonald's Pisa Aurelia,1.74,MediaWorld Pisa,3.07,2.37
129,Conad La Vettola,Farmacia Cisanello,,,,,,,,,,,8.36
130,Pizzeria Pisanova,Via del Borghetto 102,Parco San Rossore,3.4,McDonald's Barbaricina,3.71,Esselunga Cisanello,8.56,Hotel San Ranieri,0.7,Eurospin Ospedaletto,7.52,6.84
131,Via Gabriele Vettori 18,Pizzeria Colignola,Stazione San Rossore,1.93,Centro Commerciale Pisanova,3.14,Pizzeria Pisanova,0.11,,,,,2.35
132,Conad Pian di Marco,Lidl Pisa,Universita di Pisa,3.92,,,,,,,,,2.23
133,Via del Borghetto 102,OBI Pisa,Ristorante Galileo,2.18,Decathlon Pisa,1,Pizzeria Pisanova,0.85,Via Montanelli 66,1.01,Ristorante La Greppia,1.9,2.21
134,Polo Fibonacci,Centro Commerciale Darsena (Tirrenia),Ristorante Il Lago (Nodica),5.6,McDonald's Barbaricina,7.88,Via Cisanello 170,6.95,,,,,22.27
135,OBI Pisa,Eurospin Ospedaletto,McDonald's Pisa Aurelia,0.84,,,,,,,,,3.91
136,Parcheggio San Giuliano Terme,Ristorante Tuscany 2,McDonald's Pisa Aurelia,10.98,,,,,,,,,4.24
137,Stazione San Rossore,Centro Commerciale Darsena (Tirrenia),Farmacia Cisanello,3.93,Ristorante Il Mio Capriccio,2.26,Ristorante Pizzeria Il Pellicano,0.73,Parcheggio San Giuliano Terme,10.28,Supermercato Coop San Giusto,9.9,18.75
138,Universita di Pisa,Stazione Leopolda,McDonald's Barbaricina,6.72,Ipercoop Pisa,7.9,Stazione Pisa Centrale,2.12,MD Discount Riglione,5.46,,,5.65
139,Pizzeria Colignola,Ristorante La Greppia,Conad La Vettola,10.14,Euronics Pisa Cisanello,8.04,,,,,,,2.33
140,Via Cisanello 170,Esselunga Cisanello,Farmacia Cisanello,0.43,Supermercato Coop Ghezzano,4.98,,,,,,,6
141,Conad Metato,Parcheggio Migliarino,,,,,,,,,,,8.62
142,Ristorante La Greppia,Ristorante Il Mio Capriccio,Supermercato Coop San Giusto,0.89,Ristorante Pizzeria Il Pellicano,1.38,Centro Commerciale Darsena (Tirrenia),20.22,Ristorante Il Rustichello - San Piero,15.79,,,6.16
143,Via del Borghetto 102,Supermercato Coop San Giusto,,,,,,,,,,,2.87
144,MD Discount Riglione,Eurospin Ospedaletto,Ristorante Da Stefano (Tirrenia),18.03,Ristorante Tuscany 2,22.53,Universita di Pisa,2.02,Via Montanelli 66,1.11,,,6.85
145,Centro Commerciale Darsena (Tirrenia),Via Aretino Spinello 11,Pizzeria Colignola,23.39,Parcheggio San Giuliano Terme,9.71,Ristorante Il Lago (Nodica),2.93,,,,,6.7
146,MediaWorld Pisa,Stazione Pisa Centrale,Parcheggio Via Paparelli,3.36,Facolta di Ingegneria Polo A,2.01,,,,,,,2.19
147,Conad Metato,Ristorante Il Lago (Nodica),Ristorante La Greppia,11.34,OBI Pisa,2.16,,,,,,,10.1
148,Parcheggio Migliarino,Conad La Vettola,MediaWorld Pisa,14.14,Ristorante Tuscany 2,1.22,Supermercato Coop San Giusto,3.72,Ristorante Il Lago (Nodica),7.57,,,11.4
149,Farmacia Cisanello,Ipercoop Pisa,OBI Pisa,4.95,Via del Borghetto 102,4.87,Esselunga Cisanello,2.45,Decathlon Pisa,1.55,Centro Commerciale Darsena (Tirrenia),21.79,22.72
150,MediaWorld Pisa,Via Gabriele Vettori 18,OBI Pisa,4.23,Parco San Rossore,1.9,Eurospin Ospedaletto,4.58,Polo Fibonacci,6.83,MD Discount Riglione,6.26,6.31
151,Ristorante Il Lago (Nodica),Ristorante Pizzeria Il Pellicano,Ristorante Il Mio Capriccio,7.29,Torre,3.43,Parco San Rossore,2.73,Farmacia Cisanello,4.39,Esselunga Cisanello,0.51,2.36
152,Ristorante Galileo,Lidl Pisa,Ristorante Tuscany 2,0.52,Torre,3.78,Pizzeria Colignola,4.81,Ristorante Il Rustichello - San Piero,8.85,,,4.19
153,Esselunga Cisanello,Conad Pian di Marco,Universita di Pisa,2.18,Torre,1.44,,,,,,,3.58
154,Ristorante Pizzeria Il Pellicano,Conad Metato,Via Cisanello 170,2.64,Ristorante Il Lago (Nodica),7.02,Supermercato Coop San Giusto,7.95,,,,,11.21
155,Stazione Leopolda,Via San Ranieri 9,,,,,,,,,,,2.53
156,Stazione Leopolda,Conad La Vettola,Euronics Pisa Cisanello,2.35,,,,,,,,,8.57
157,Parcheggio Porto di Marina,Carrefour Express Pisanova,Lidl Pisa,14,,,,,,,,,2.53
158,Ristorante Il Lago (Nodica),Ristorante La Greppia,Ristorante Il Mio Capriccio,8.29,Pizzeria Colignola,2.69,Via Cisanello 170,1.84,Via San Ranieri 9,0.44,Decathlon Pisa,1.83,1.57
159,Piscina Comunale Camalich,Decathlon Pisa,Conad La Vettola,5.82,Hotel Continental Tirrenia,14.43,,,,,,,19.57
160,Ristorante Il Mio Capriccio,Decathlon Pisa,Ristorante Pizzeria Il Pellicano,0.77,Ristorante Galileo,1.85,Lidl Pisa,3.46,Ipercoop Pisa,3.47,MD Discount Riglione,3.44,3.47
161,Universita di Pisa,Pizzeria Colignola,Ristorante Tuscany 2,2.15,Polo Fibonacci,2.41,Via Aretino Spinello 11,1.3,,,,,3.68
162,Via Montanelli 66,Euronics Pisa Cisanello,Pizzeria Colignola,3.15,,,,,,,,,1.85
163,Conad La Vettola,Ristorante Galileo,Eurospin Ospedaletto,5.09,McDonald's Pisa Aurelia,3.34,,,,,,,3.63
164,Ristorante Il Rustichello - San Piero,MediaWorld Pisa,Facolta di Ingegneria Polo A,7.14,Ristorante La Greppia,2.77,Via Montanelli 66,1.99,Farmacia Cisanello,1.79,,,1.46
165,Via del Borghetto 102,Polo Fibonacci,Parco San Rossore,2.77,,,,,,,,,3.34
166,Hotel Continental Tirrenia,Euronics Pisa Cisanello,Carrefour Express Pisanova,18.58,Hotel San Ranieri,1.38,,,,,,,1.66
167,Hotel Continental Tirrenia,Pizzeria Pisanova,Decathlon Pisa,18.03,Hotel Galilei Pisa,4.23,,,,,,,4.43
168,Esselunga Cisanello,Farmacia Cisanello,Euronics Pisa Cisanello,1.01,Universita di Pisa,2.32,Stazione Leopolda,1.65,Centro Commerciale Darsena (Tirrenia),19.08,Centro Commerciale Pisanova,20.28,1.16
169,Eurospin Ospedaletto,Pizzeria Colignola,Ristorante Il Mio Capriccio,5.66,Supermercato Coop Ghezzano,7.04,Via Montanelli 66,6.17,,,,,3.28
170,Polo Fibonacci,Parcheggio di Cisanello,,,,,,,,,,,1.83
171,Universita di Pisa,Ristorante Il Rustichello - San Piero,Ristorante Tuscany 2,2.14,,,,,,,,,7.22
172,Ipercoop Pisa,Ristorante La Greppia,Via Aretino Spinello 11,2.57,Ristorante Il Mio Capriccio,1.96,,,,,,,1.36
173,Hotel San Ranieri,Decathlon Pisa,Conad Pian di Marco,5.2,Parcheggio San Giuliano Terme,12.05,Conad La Vettola,12.54,,,,,7.1
174,Farmacia Cisanello,Ristorante Il Lago (Nodica),Lidl Pisa,3.8,Supermercato Coop Ghezzano,6.16,Via Cisanello 170,5.11,,,,,7.15
175,Ristorante Da Stefano (Tirrenia),Lidl Pisa,Ristorante Pizzeria Il Pellicano,18.55,,,,,,,,,2.04
176,Facolta di Ingegneria Polo A,Carrefour Express Pisanova,Farmacia Cisanello,2.1,Conad La Vettola,9.2,Ristorante Tuscany 2,8.15,Ristorante Il Lago (Nodica),7.54,,,7.75
177,Supermercato Coop San Giusto,Parcheggio Migliarino,Ristorante Il Mio Capriccio,2.3,Pizzeria Colignola,3,Decathlon Pisa,2.78,,,,,16.25
