driver_id,car_plate,brand,model,color
139,OP638II,Mitsubishi,eK Space,Red
140,ML129GR,TOYOTA,TACOMA,White
141,MK149KO,Porsche,911 Carrera 4 GTS,Silver
142,RF991VT,Volkswagen,Jetta GLI 35th,White
143,YP660IZ,BMW,120i M SPORT,Silver
144,TY978LO,TOYOTA,LAND CRUISER PRADO,Blue
145,DT351ZU,GMC,Sierra 3500HD AT4,White
146,LG847OS,Nissan,Qashqai Tekna,Silver
147,KX429VA,Nissan,Avenir,Silver
148,SQ378SV,MERCEDES,BENZ E-CLASS E 63 S,Gray
149,TF461CS,Kia,Soul S,Silver
150,TZ684FL,Jeep,Grand Wagoneer,Gray
151,NK472FD,Jaguar Land Rover,Jaguar F-PACE S 30t AWD,Gray
152,YV871MF,GMC,Sierra 1500 AT4X,Gray
153,WY854TR,NISSAN,TITAN,Red
154,IW383NB,Jaguar Land Rover,Jaguar F-Type V6 S Convertible,Black
155,XO728SS,Chevrolet,Bolt EV Premier,Beige
156,XF199NL,Nissan,Cabstar,Red
157,TY990YL,TOYOTA,COROLLA HATCHBACK XSE,Gray
158,ME460VH,Tesla,Model Y,Red
159,BD473FC,BMW,M2 CS,White
160,QV315TY,ASTON MARTIN,DBX,Gray
161,YE564CS,Mitsubishi,Space Star,Blue
162,KV843BF,ASTON MARTIN,VANTAGE ,Gray
163,LO915YH,Jaguar Land Rover,Jaguar I-PACE EV400 HSE,Black
164,HS932TQ,Porsche,Cayenne S,Black
165,YZ809CE,GMC,Sierra EV Denali,Black
166,CN627SA,Nissan,Patrol,Silver
167,ZS168UQ,Acura,TLX Type S PMC Edition,Silver
168,DK775GR,GMC,Yukon XL,Brown
169,MJ935JW,Volkswagen,Beetle Final Edition,White
170,CF354GG,Volkswagen,Taos,Brown
171,BH574XD,Porsche,911 GT3 Cup,Gray
172,UM239IX,GMC,Acadia SLE,Black
173,CT296YY,KIA,SPORTAGE EX,White
174,IB254TH,Cadillac,Escalade ESV,White
175,YG977UD,Nissan,Sunny California,Gray
176,RH997ZD,Nissan,March,Blue
177,IT013FU,Tata Motors,Nano GenX,Black
178,FC970QA,Mazda,Verisa,Black
179,AI592FH,Mazda,Tribute,Black
180,WM857EN,FERRARI,ROMA SPIDER,Blue
181,SU376SU,TOYOTA,BZ3,Black
182,LQ574UW,Volkswagen,Arteon 280 TSI,Silver
183,ST365AM,KIA,SPORTAGE 2024(SX TURBO AWD),Brown
184,QH361NT,Ford,Focus ST,Black
185,VR064AS,Kia,Sorento Hybrid EX,White
186,MA233JT,Mazda,CX-60,Black
187,HF409GV,Ford,Bronco,Red
188,XK679SQ,Volkswagen,Jetta GLI,Gray
189,AM504IU,Cadillac,XT5 Sport,Gray
190,HS980PJ,Mazda,Astina,Blue
191,CW394UE,Chevrolet,Spark LS,White
192,AF013MZ,Ford,Mustang Shelby GT350,Black
193,WP129QS,Mazda,RX-2,White
194,DB306HZ,Mitsubishi,ASX Exceed,Brown
195,AL546MF,Tata Motors,Punch,White
196,CU336XA,BMW,M3 COMPETITION,Red
197,XA928HJ,ROLLS ROYCE,PHANTOM CELESTIAL,Silver
198,DX952ED,Kia,Soul GT Designer Edition,Gray
199,OT202LV,GMC,Yukon Denali,Red
200,QS173ZR,Tata Motors,Manza,Gray
201,UJ222YJ,Nissan,Urvan,White
202,EM777JZ,Chevrolet,Tahoe Sport Edition,Gray
203,CD056OB,Acura,NSX GT3 (Track Version),Blue
204,ST838CE,Ford,Explorer Plug-in Hybrid,Blue
205,MV203WM,KIA,SPORTAGE 2024(BASE MODEL),Black
206,NO909JX,Nissan,Bluebird Z,Silver
207,NG481AH,GMC,Canyon SLT,Red
208,ES925ZK,Peugeot,3008 Active,Blue
209,VV201WB,Nissan,Sunny NISMO Edition,Blue
210,PP137NY,Nissan,200SX,White
211,TP535MS,MARUTI SUZUKI,SWIFT,Gray
212,LK988QY,TOYOTA,LAND CRUISER 300,White
213,CI502LK,Volkswagen,Passat Alltrack TDI,Gray
214,TA676LA,TOYOTA,CROWN,Blue
215,GA395YZ,Mazda,MPV,White
216,EZ095ZL,TOYOTA,TOYOTA 86,Black
217,FL228DB,HYUNDAI,Ioniq,White
218,BD659WY,Porsche,Macan T,Red
219,FA404MH,Jeep,Grand Cherokee Summit Reserve,Blue
220,GB537YS,Jaguar Land Rover,Jaguar XE P300 R-Dynamic,Silver
221,YW721OT,Mitsubishi,ASX Dynamic,White
222,BG203VW,ROLLS ROYCE,WRAITH KRYPTOS,Silver
223,NA021CY,Nissan,Almera,White
224,DA259IW,Nissan,Qashqai,White
225,TF718OA,FERRARI,F8 TRIBUTO,Gray
226,TE849CB,Nissan,Cima,Black
227,ZX713RJ,Volkswagen,Caddy Maxi,Gray
228,BK731XP,Peugeot,208,White
229,GY661OX,Volkswagen,ID.3 Pro,Gray
230,RI832WA,Nissan,GT-R Black Edition,White
231,LY321HF,TOYOTA,HIGHLANDER,Red
232,ET854WD,Jeep,Gladiator Mojave Edition,White
233,ME827YV,Porsche,911 Dakar Limited Edition,White
234,SU058WD,Mitsubishi,Delica D:5,Black
235,IS265WD,Nissan,X-Trail Hybrid,Red
236,NF836EN,Acura,ILX Premium,Black
237,EC959IQ,GMC,Sierra 3500HD,Red
238,UT656TR,Mitsubishi,Delica Van,Blue
239,IT668QK,Chevrolet,Bolt EV 2LT,Silver
240,TL041NP,Ford,F-150 Platinum,Orange
241,IX882AC,BMW,M135i XDRIVE,Black
242,PI869IM,Jeep,Wrangler Rubicon,Orange
243,LK080OX,Peugeot,Expert,White
244,FS370TE,Mazda,323F,Silver
245,KQ608XI,ASTON MARTIN,RAPIDE AMR,Gray
246,YC047DH,BMW,116D,Silver
247,CK833DA,Mitsubishi,Grand Lancer,Gray
248,NH797AN,Jaguar Land Rover,Jaguar F-Type R-Dynamic,White
249,TC458AW,Mitsubishi,ASX (Outlander Sport),White
250,TP647XC,KIA,SPORTAGE 2024(PLUG-IN HYBRID AWD),Blue
251,RZ544OD,LAMBORGHINI,AVENTADOR ULTIMAE,White
252,CO076QM,GMC,Sierra 2500HD Denali,Silver
253,HQ081CR,TOYOTA,CENTURY SUV,Black
254,DI251IM,Volkswagen,Arteon 4MOTION,Blue
255,AE793QG,ROLLS ROYCE,DAWN CONVERTIBLE,Orange
256,XH132NJ,MARUTI SUZUKI,BREZZA,Gray
257,MU189AL,Volkswagen,Tiguan eHybrid,Red
258,JY195SQ,Porsche,718 Boxster T,Silver
259,IB658NT,Jeep,Gladiator,Gray
260,HF107ZX,Chevrolet,Tahoe RST,Black
261,YS783IC,Chevrolet,Tahoe Z71,White
262,PY526YW,Chevrolet,Spark Activ,Red
263,GQ797WD,AUDI,E-TRON SPORTBACK,Gray
264,MV483UA,AUDI,Q3,Orange
265,WT414OG,Mazda,1500,Red
266,HT642SY,Nissan,Almera Tino,Gray
267,GS097KG,Chevrolet,Colorado ZR2,Gray
268,QI875TP,Kia,Seltos EX,Black
269,YV604XH,GMC,Terrain,Silver
270,NM987SR,Mazda,CX-90,Silver
271,MX138KZ,Volkswagen,Touareg V8,Blue
272,QI176PB,Nissan,Mistral,Blue
273,TF436TG,Nissan,Pathfinder Rock Creek Edition,White
274,BU232MT,Kia,Seltos Nightfall Edition,Black
275,VF268RV,Chevrolet,Camaro SS,White
276,FU251RH,Nissan,Skyline 50th Anniversary,Gray
277,FW279RJ,Nissan,Tiida,White
278,KK075PT,Nissan,Terrano II,Silver
279,LB435FH,Nissan,Sylphy,Gray
280,MV564BZ,Mitsubishi,Xpander Cross,Black
281,ZQ996TI,Kia,Carnival MPV EX,Black
282,TS459LN,Nissan,Patrol Titanium,Black
283,PD253CD,Volkswagen,Tiguan R-Line,Black
284,ZA217MD,Porsche,718 Cayman GT4 RS,Black
285,NR967SZ,TOYOTA,TUNDRA,Blue
286,XE650PS,MERCEDES,BENZ MAYBACH S 680,Gray
287,HP529BB,Chevrolet,Colorado,White
288,GD346JX,BMW,M4 COMPETITION,Blue
289,KD094NE,Chevrolet,Malibu LT,White
290,KC614TH,Peugeot,308 Saloon,Silver
291,FE448HO,TOYOTA,TOYOTA  GR86,Blue
292,IK019WK,Volkswagen,Karmann Ghia,Green
293,BK602PX,Ford,F-150 Limited,Gray
294,HN060MU,BMW,X5 M COMPETITION,Silver
295,XS329CN,BMW,128ti,Blue
296,KN027ZH,Kia,Rio,Blue
297,OY408TK,Ford,F-150 Lightning,Green
298,XJ285GQ,Volkswagen,ID. Buzz Cargo Pro,Red
299,HD966WQ,Jeep,Grand Cherokee,Black
300,DB288VG,Mitsubishi,Montero Sport,Black
